perturbation,n,finite_runs,failure_fraction,mean_final_closed_test_loss,mean_final_open_test_loss,mean_deployed_loss_gap,c1_deployed_loss_support,c1_gain_support,c2_stage_support,c3_stability_support,open_loop_spike_fraction,closed_recovery_fraction
adam,15,15,0.0,0.07803400822327473,0.07978574938247478,0.0017517411592000273,0.0,0.0,0.0,1.0,0.7333333333333333,1.0
episode_long,15,15,0.0,0.05225367287320181,0.6799741914066442,0.6277205185334425,1.0,1.0,0.0,1.0,0.0,1.0
episode_short,15,15,0.0,0.17335227527236385,0.7183899687925975,0.5450376935202337,1.0,1.0,0.0,1.0,0.0,1.0
feedback_high,15,15,0.0,0.08990663528654717,0.3732049431817119,0.28329830789516475,1.0,1.0,0.0,1.0,0.0,1.0
feedback_low,15,15,0.0,0.10446706779284044,0.2671355308194058,0.16266846302656532,1.0,1.0,0.0,1.0,0.0,1.0
high_control_penalty,15,15,0.0,0.09355848857968664,0.30578557510421234,0.21222708652452574,1.0,1.0,0.0,1.0,0.0,1.0
init_strong,15,15,0.0,0.09561572931517767,0.47159677408511436,0.3759810447699367,1.0,1.0,0.0,1.0,0.0,1.0
init_weak,15,15,0.0,0.09293362618660564,0.30248773412338276,0.2095541079367771,1.0,1.0,0.0,1.0,0.0,1.0
lr_high,15,15,0.0,0.0831556137119407,0.1963170036342829,0.11316138992234219,1.0,1.0,0.0,1.0,0.0,1.0
lr_low,15,15,0.0,0.11952805604876773,6.865910521904627,6.74638246585586,1.0,1.0,0.06666666666666667,1.0,0.0,1.0
no_clip,15,0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
obs_noise,15,15,0.0,0.10455663921311494,0.29064547187959155,0.1860888326664766,1.0,1.0,0.0,1.0,0.0,1.0
original,15,15,0.0,0.0932886234415004,0.3114260337905087,0.21813741034900827,1.0,1.0,0.0,1.0,0.0,1.0
